,name,desc,score,c_score,price,category,accessibility,schedule,web,search_parameters,phone,address,lat,lon
183,Pared De Agua,"Información  Accesibilidad

Entrada accesible para personas en silla de ruedas

Estacionamiento accesible para personas en silla de ruedas
    Servicios

Área para patinetas

Cancha de básquetbol

Columpios
    Menores

Área de juegos

Ideal para ir con niños
    Mascotas

Parque para perros

Se permiten perros",4.3,1133.0,,Parque,Accesible con silla de ruedas,"6 .,None",,Comuna Santa Cruz Parques acuaticos,,"Cl 42 #10557, San Javier, Medellín, San Javier, Medellín, Antioquia",6.25549,-75.620066
184,Acuaparque Ditaires,"Información  Parque acuático grande con sauna, piscina de olas, toboganes, zona para niños y canchas de deportes.
    Accesibilidad

Entrada accesible para personas en silla de ruedas

Sanitarios accesibles para personas en silla de ruedas

Estacionamiento accesible para personas en silla de ruedas
    Servicios

Restaurante

Sanitario
    Público usual

Recomendable para ir en familia
    Menores

Ideal para ir con niños",4.4,5879.0,,Parque acuático,Accesible con silla de ruedas,"9 .,6 pm.",https://www.comfenalcoantioquia.com.co/personas/sedes/acuaparque-ditaires/,Comuna Santa Cruz Parques acuaticos,(604) 4443635 ,"Cl. 36 #59-69, Pilsen, Itagüi, Antioquia",6.169487,-75.6281441
185,Aeroparque Juan Pablo II,"Información  Parque acuático con toboganes y piscinas, además de áreas para correr carreras, caminar y andar en bicicleta.
    Accesibilidad

Entrada accesible para personas en silla de ruedas

Estacionamiento accesible para personas en silla de ruedas

Sanitarios accesibles para personas en silla de ruedas
    Servicios

Espacio para guardar equipaje

Restaurante

Sanitario

Wi-Fi

Tiene Wi-Fi gratis
    Público usual

Amigable con LGBTQ+

Espacio seguro para personas transgénero

Recomendable para ir en familia
    Planificación

Se recomienda comprar las entradas con anticipación
    Menores

Área de juegos

Ideal para ir con niños",4.4,14931.0,,Parque acuático,Accesible con silla de ruedas,,http://www.aeroparquejuanpablo.gov.co/,Comuna Santa Cruz Parques acuaticos,(604) 3401210 ,"Cra. 70 #16, Guayabal, Medellín, Guayabal, Medellín, Antioquia",6.2200154,-75.5917358
186,Centro Comercial Bosque Plaza,"Información  Centro comercial compacto con tiendas y servicios, patio de comidas y cine.
    Accesibilidad

Entrada accesible para personas en silla de ruedas

Estacionamiento accesible para personas en silla de ruedas
    Opciones de servicio

Servicios en el lugar
    Qué ofrece

Juegos de arcade
    Pagos

Pagos con dispositivos móviles mediante NFC

Tarjetas de débito

Tarjetas de crédito
    Menores

Área de juegos",4.2,11346.0,,Centro comercial,Accesible con silla de ruedas,"9 .,9 pm.",http://www.bosqueplaza.com/,Comuna Santa Cruz Centros comerciales,(604) 2638895 ,"Cl. 73 #51D- 71, Aranjuez, Medellín, Aranjuez, Medellín, Antioquia",6.2688213,-75.5652941
187,Centro Comercial Veracruz,"Información  Accesibilidad

Entrada accesible para personas en silla de ruedas
    Pagos

Pagos con dispositivos móviles mediante NFC

Tarjetas de débito

Tarjetas de crédito",4.2,1184.0,,Centro comercial,Accesible con silla de ruedas,"9 .,9 pm.",,Comuna Santa Cruz Centros comerciales,301 6709429 ,"Av. Carabobo #51-52, La Candelaria, Medellín, La Candelaria, Medellín, Antioquia",6.251395,-75.5690121
188,Gardel Plaza Centro Comercial,"Información  Accesibilidad

Entrada accesible para personas en silla de ruedas
    Menores

Área de juegos",4.3,1561.0,,Centro comercial,Accesible con silla de ruedas,"9 .,9 pm.",http://gardelplaza.com/,Comuna Santa Cruz Centros comerciales,43222240 ,"Cl. 72 #44-105, Manrique Central II, Medellín, Manrique, Medellín, Antioquia",6.2672599,-75.5547746
189,Florida Parque Comercial,"Información  Sitio cubierto con tiendas de accesorios, ropa y artículos deportivos, supermercados, cines y área recreativa.
    Accesibilidad

Entrada accesible para personas en silla de ruedas

Estacionamiento accesible para personas en silla de ruedas
    Opciones de servicio

Compras en tienda

Servicios en el lugar
    Qué ofrece

Juegos de arcade
    Pagos

Pagos con dispositivos móviles mediante NFC

Tarjetas de débito

Tarjetas de crédito
    Estacionamiento

Estacionamiento gratuito",4.6,37038.0,,Centro comercial,Accesible con silla de ruedas,"12 pm.,9 pm.",http://www.floridapc.co/,Comuna Santa Cruz Centros comerciales,(604) 5202880 ,"Cl. 71 #65 - 150, El Progreso, Medellín, Castilla, Medellín, Antioquia",6.2706578,-75.5767491
190,Centro Comercial La Cascada,"Información  Opciones de servicio

Servicios en el lugar",4.3,8510.0,,Centro comercial,,"9 .,9 pm.",https://centrocomerciallacascada.com/,Comuna Santa Cruz Centros comerciales,,"Cra. 53 #50-51 local 107b, La Candelaria, Medellín, La Candelaria, Medellín, Antioquia",6.2511764,-75.5702582
191,Centro Comercial Villanueva,"Información  Centro comercial en un edificio histórico con tiendas de artículos católicos y un patio con cafetería.
    Accesibilidad

Entrada accesible para personas en silla de ruedas

Estacionamiento accesible para personas en silla de ruedas
    Opciones de servicio

Servicios en el lugar",4.2,6139.0,,Centro comercial,Accesible con silla de ruedas,"9 .,9 pm.",https://centrocomercialvillanueva.co/,Comuna Santa Cruz Centros comerciales,(604) 2510365 ,"Cl. 57 #49-44, La Candelaria, Medellín, La Candelaria, Medellín, Antioquia",6.2553897,-75.5641396
192,Centro Comercial Palacio Nacional,"Información  Accesibilidad

Entrada accesible para personas en silla de ruedas
    Opciones de servicio

Servicios en el lugar",4.3,8173.0,,Centro comercial,Accesible con silla de ruedas,"9 .,9 pm.",,Comuna Santa Cruz Centros comerciales,45134422 ,"Cra. 52 #48-45, La Candelaria, Medellín, La Candelaria, Medellín, Antioquia",6.2488072,-75.570191
193,Centro Comercial Medellín,"Información  Accesibilidad

Entrada accesible para personas en silla de ruedas

Estacionamiento accesible para personas en silla de ruedas",4.3,1834.0,,Centro comercial,Accesible con silla de ruedas,"9 .,3 pm.",,Comuna Santa Cruz Centros comerciales,319 2876131 ,"Cl. 54 # 57-60, La Candelaria, Medellín, La Candelaria, Medellín, Antioquia",6.2559617,-75.5738294
194,Centro Comercial Bolivar Prado,"Información  Accesibilidad

Entrada accesible para personas en silla de ruedas

Estacionamiento accesible para personas en silla de ruedas",4.1,1143.0,,Centro comercial,Accesible con silla de ruedas,"9 .,3 pm.",,Comuna Santa Cruz Centros comerciales,45115197 ,"Bolivar #56-26, La Candelaria, Medellín, La Candelaria, Medellín, Antioquia",6.255423,-75.5665391
195,Unión Plaza Centro Comercial,"Información  Plaza de venta minorista cubierta y al aire libre de ambiente encantador y retro con muchas tiendas y cafeterías.
    Accesibilidad

Entrada accesible para personas en silla de ruedas

Espacio accesible para personas en silla de ruedas

Estacionamiento accesible para personas en silla de ruedas

Sanitarios accesibles para personas en silla de ruedas

Alquiler de sillas de ruedas
    Información proporcionada por la empresa

Se identifica como mujer empresaria
    Opciones de servicio

Compras en tienda

Servicios en el lugar
    Servicios

Sanitario

Sanitarios unisex

Tiene Wi-Fi gratis
    Público usual

Amigable con LGBTQ+

Espacio seguro para personas transgénero
    Pagos

Pagos con dispositivos móviles mediante NFC

Tarjetas de crédito

Tarjetas de débito

Tarjetas de crédito
    Menores

Área de juegos
    Estacionamiento

Estacionamiento pagado

Servicio de estacionamiento",4.4,3787.0,,Centro comercial,Accesible con silla de ruedas,"9 .,9 pm.",https://www.unionplaza.com.co/,Comuna Santa Cruz Centros comerciales,(604) 4082649 ,"Cra. 50 #52-50, La Candelaria, Medellín, La Candelaria, Medellín, Antioquia",6.2513247,-75.5668109
196,"Mandingas santa cruz, la 99","Información  Accesibilidad

Entrada accesible para personas en silla de ruedas
    Opciones de servicio

Asientos al aire libre

Entrega a domicilio

Para llevar

Consumo en el lugar
    Qué ofrece

Aperitivos
    Opciones del local

Espacio con asientos
    Servicios

Sanitario
    Ambiente

Agradable

Informal
    Público usual

Grupos
    Menores

Ideal para ir con niños",3.9,82.0,$ 10.000-20.000,Restaurante,Accesible con silla de ruedas,"6 pm.,6 .",,Comuna Santa Cruz Bares,310 4106351 ,"Cl. 99 #49-23, Santa Cruz, Medellín, Santa Cruz, Medellín, Antioquia",6.2908703,-75.5564245
197,La carbonera,"Información  Accesibilidad

Entrada accesible para personas en silla de ruedas

Espacio accesible para personas en silla de ruedas

Estacionamiento accesible para personas en silla de ruedas
    Opciones de servicio

Entrega sin contacto

Entrega a domicilio

Para llevar

Consumo en el lugar
    Qué ofrece

Alcohol

Aperitivos

Bebidas fuertes

Café

Cerveza

Vino
    Opciones del local

Desayuno-almuerzo

Almuerzo

Cena

Postres

Espacio con asientos
    Servicios

Sanitario

Tiene bar
    Ambiente

Agradable

Informal
    Público usual

Grupos
    Planificación

Se aceptan reservas
    Menores

Ideal para ir con niños

Menú para niños

Sillas altas",4.2,127.0,$ 20.000-30.000,Restaurante,Accesible con silla de ruedas,"9 .,6 .",,Comuna Santa Cruz Bares,45812897 ,"Cl. 99 #50B-02, Santa Cruz, Medellín, Santa Cruz, Medellín, Antioquia",6.2918383,-75.5589489
198,Santa cruz,"Información  Opciones de servicio

Consumo en el lugar
    Qué ofrece

Alcohol

Comida
    Servicios

Sanitario
    Ambiente

Informal
    Público usual

Grupos",5.0,1.0,,Bar,,,,Comuna Santa Cruz Bares,,"Cra. 52c #102-04, Santa Cruz, Medellín, Santa Cruz, Medellín, Antioquia",6.2939147,-75.5588978
199,Lico bar la tita,"Información  Opciones de servicio

Consumo en el lugar
    Qué ofrece

Alcohol

Bebidas fuertes

Cerveza

Comida
    Servicios

Sanitario
    Ambiente

Agradable

Informal
    Público usual

Grupos",4.8,4.0,,Bar,,,,Comuna Santa Cruz Bares,,"Cra. 49 #102-1, Santa Cruz, Medellín, Santa Cruz, Medellín, Antioquia",6.2933391,-75.5555917
200,Los Perritos Del Norte Santa Cruz,"Información  Opciones de servicio

Asientos al aire libre

Retiros en la puerta

Entrega a domicilio

Pedidos desde el automóvil

Para llevar

Consumo en el lugar
    Qué ofrece

Aperitivos
    Opciones del local

Espacio con asientos
    Ambiente

Agradable

Informal
    Público usual

Grupos
    Menores

Ideal para ir con niños",4.5,12.0,$ 10.000-20.000,Restaurante,,"6 pm.,6 .",,Comuna Santa Cruz Bares,310 5906037 ,"Cl. 97a #51a113, La Rosa, Medellín, Santa Cruz, Medellín, Antioquia",6.2912899,-75.5611725
201,Pablo VI,"Información  Accesibilidad

Entrada accesible para personas en silla de ruedas

Estacionamiento accesible para personas en silla de ruedas
    Opciones de servicio

Asientos al aire libre

Consumo en el lugar
    Aspectos destacados

Deportes
    Qué ofrece

Alcohol

Bebidas fuertes

Cerveza

Comida
    Opciones del local

Espacio con asientos
    Servicios

Sanitario
    Ambiente

Agradable

Informal
    Público usual

Grupos
    Mascotas

Se permiten perros",4.2,100.0,,Bar,Accesible con silla de ruedas,,,Comuna Santa Cruz Bares,,"Cl. 118 #16, Medellín, Santa Cruz, Antioquia",6.3026355,-75.5492586
202,Papas Las Delicias,"Información  Opciones de servicio

Entrega a domicilio

Para llevar

Consumo en el lugar
    Ambiente

Agradable

Informal
    Público usual

Grupos

Recomendable para ir en familia
    Pagos

Pagos con dispositivos móviles mediante NFC

Tarjetas de débito
    Menores

Ideal para ir con niños",4.4,21.0,,Restaurante,,"6 pm.,6 .",,Comuna Santa Cruz Bares,304 5357523 ,"Cl. 103a #50-67, Santa Cruz, Medellín, Santa Cruz, Medellín, Antioquia",6.2940062,-75.5571345
203,VALDAR,"Información  Opciones de servicio

Consumo en el lugar
    Qué ofrece

Alcohol

Cerveza

Comida
    Servicios

Sanitario
    Ambiente

Agradable

Informal",5.0,1.0,,Cervecería artesanal,,,,Comuna Santa Cruz Bares,317 6065802 ,"C. 100 #51-27, Santa Cruz, Medellín, Santa Cruz, Medellín, Antioquia",6.2924363,-75.5600687
204,Restaurante La Paisa,"Información  Opciones de servicio

Para llevar

Consumo en el lugar
    Qué ofrece

Alcohol

Café

Cerveza
    Opciones del local

Desayunos

Desayuno-almuerzo

Almuerzo

Cena
    Servicios

Sanitario
    Ambiente

Agradable

Informal
    Público usual

Grupos
    Menores

Ideal para ir con niños",4.1,64.0,$,Restaurante,,"9 .,9 pm.",,Comuna Santa Cruz Bares,300 7610437 ,"Cra. 52 #27, La Rosa, Medellín, Santa Cruz, Medellín, Antioquia",6.2912914,-75.5611821
205,Mandingas de Santa Cruz,"Información  Accesibilidad

Entrada accesible para personas en silla de ruedas

Estacionamiento accesible para personas en silla de ruedas
    Opciones de servicio

Entrega a domicilio

Para llevar

Consumo en el lugar
    Qué ofrece

Comidas durante la madrugada
    Opciones del local

Cena
    Ambiente

Informal
    Público usual

Grupos
    Menores

Ideal para ir con niños
    Estacionamiento

Estacionamiento gratuito en la calle",4.4,475.0,$ 1-10.000,Restaurante de comida rápida,No accesible con silla de ruedas,"6 pm.,6 .",,Comuna Santa Cruz Bares,42142640 ,"a 49-108,, Cl. 98 #4924, Medellín, Antioquia",6.2900197,-75.5567741
206,Emporium discoteca vip,"Información  Opciones de servicio

Entrega a domicilio

Para llevar
    Aspectos destacados

Buenos cócteles

Música en vivo

Presentaciones en vivo
    Qué ofrece

Alcohol

Bebidas fuertes

Cerveza

Cócteles

Lugar para bailar
    Servicios

Sanitario
    Ambiente

Agradable

Informal
    Público usual

Grupos
    Planificación

Se aceptan reservas",4.3,221.0,$$,Discoteca,,,https://www.facebook.com/1142930342454711/posts/3555108747903513/,Comuna Santa Cruz Discotecas,323 4579838 ,"Cra 49B #90-112, Aranjuez, Medellín, Aranjuez, Medellín, Antioquia",6.2829347,-75.5574928
207,La Santa Diabla,"Información  Opciones de servicio

Entrega a domicilio

Para llevar
    Aspectos destacados

Buenos cócteles
    Qué ofrece

Alcohol

Bebidas fuertes

Cerveza

Cócteles
    Servicios

Sanitario
    Ambiente

Agradable

Informal
    Público usual

Grupos
    Planificación

Se aceptan reservas",4.2,68.0,,Discoteca,,,,Comuna Santa Cruz Discotecas,,"Cl. 92, Aranjuez, Medellín, Aranjuez, Medellín, Antioquia",6.2834443,-75.5577185
208,Otra Noche Club Medellín,"Información  Accesibilidad

Entrada accesible para personas en silla de ruedas

Estacionamiento accesible para personas en silla de ruedas
    Opciones de servicio

Entrega a domicilio

Para llevar
    Aspectos destacados

Buenos cócteles

Música en vivo

Presentaciones en vivo
    Qué ofrece

Alcohol

Bebidas fuertes

Cerveza

Cócteles

Lugar para bailar
    Servicios

Sanitario
    Ambiente

Agradable

Informal
    Público usual

Grupos
    Planificación

Se aceptan reservas",4.8,38.0,,Discoteca,No accesible con silla de ruedas,"9 pm.,6 .",,Comuna Santa Cruz Discotecas,302 8544277 ,"Cl. 92 #50-13, Aranjuez, Medellín, Aranjuez, Medellín, Antioquia",6.2832089,-75.55808
209,Discoteca Éxtasis Cocktails Club,"Información  Accesibilidad

Entrada accesible para personas en silla de ruedas

Estacionamiento accesible para personas en silla de ruedas
    Opciones de servicio

Consumo en el lugar

Entrega a domicilio

Para llevar
    Aspectos destacados

Buenos cócteles

Música en vivo

Presentaciones en vivo
    Qué ofrece

Alcohol

Bebidas fuertes

Cerveza

Cócteles

Comida
    Servicios

Sanitario
    Ambiente

Agradable

Informal
    Público usual

Grupos
    Planificación

Se aceptan reservas",4.2,211.0,$$,Discoteca,No accesible con silla de ruedas,"9 pm.,6 .",https://m.facebook.com/profile.php?id=100013393777082,Comuna Santa Cruz Discotecas,301 5180142 ,"a 44-46, Cl 20E #44-18, Bello, Antioquia",6.3089732,-75.5544325
210,Discoteca El Indio Goterero,"Información  Opciones de servicio

Consumo en el lugar

Entrega a domicilio
    Aspectos destacados

Buenos cócteles
    Qué ofrece

Alcohol

Bebidas fuertes

Cerveza

Cócteles

Comida
    Servicios

Sanitario
    Ambiente

Agradable

Informal
    Público usual

Grupos",3.5,2.0,,Club nocturno,,"12 pm.,6 .",,Comuna Santa Cruz Discotecas,310 7370705 ,"Cra. 52 #65 # 104, Villa Niza, Medellín, Santa Cruz, Medellín, Antioquia",6.296375,-75.5586298
211,Discoteca La Timotea,"Información  Opciones de servicio

Entrega a domicilio

Para llevar
    Aspectos destacados

Buenos cócteles

Música en vivo

Presentaciones en vivo
    Qué ofrece

Alcohol

Bebidas fuertes

Cerveza

Cócteles
    Servicios

Sanitario
    Ambiente

Agradable

Informal
    Público usual

Grupos
    Planificación

Se aceptan reservas",4.3,78.0,,Club nocturno,,"6 pm.,12 .",https://gastrobar.pro/pdv/?biz=-NHU8DG9ZSOFNAvpzktn,Comuna Santa Cruz Discotecas,321 3285879 ,"Cl. 92 #50A-16, Aranjuez, Medellín, Aranjuez, Medellín, Antioquia",6.2835437,-75.5587025
212,Discoteca Ave María,"Información  Opciones de servicio

Consumo en el lugar

Entrega a domicilio

Para llevar
    Qué ofrece

Alcohol

Bebidas fuertes

Cerveza

Comida

Lugar para bailar
    Servicios

Sanitario
    Ambiente

Agradable

Informal
    Público usual

Amigable con LGBTQ+

Espacio seguro para personas transgénero

Grupos
    Planificación

Se aceptan reservas",3.9,21.0,$ 50.000-60.000,Discoteca,,"6 .,None",,Comuna Santa Cruz Discotecas,310 2353982 ,"Cl. 92 #50b-2, Aranjuez, Medellín, Aranjuez, Medellín, Antioquia",6.2836485,-75.5593792
213,URBAN CLUB CAMPO VALDES,"Información  Opciones de servicio

Consumo en el lugar
    Aspectos destacados

Buenos cócteles
    Qué ofrece

Alcohol

Bebidas fuertes

Cerveza

Cócteles

Comida
    Servicios

Sanitario
    Ambiente

Agradable

Informal
    Público usual

Grupos
    Planificación

Se aceptan reservas
    Pagos

Tarjetas de crédito

Tarjetas de débito",4.5,14.0,,Discoteca,,,https://instagram.com/urban.club1?igshid=YmMyMTA2M2Y=,Comuna Santa Cruz Discotecas,310 4133014 ,"Cra. 48a #CALLE 76-01 CALLE 76-01, Aranjuez, Medellín, Aranjuez, Medellín, Antioquia",6.2696978,-75.5577151
214,212 Vip Discoteca,"Información  Accesibilidad

Entrada accesible para personas en silla de ruedas

Estacionamiento accesible para personas en silla de ruedas
    Opciones de servicio

Consumo en el lugar

Para llevar
    Aspectos destacados

Música en vivo

Presentaciones en vivo
    Qué ofrece

Alcohol

Bebidas fuertes

Cerveza

Cócteles

Comida
    Servicios

Sanitario
    Ambiente

Agradable

Informal
    Público usual

Grupos
    Planificación

Se aceptan reservas",4.0,169.0,$,Bar,No accesible con silla de ruedas,"6 pm.,6 .",,Comuna Santa Cruz Discotecas,301 2612008 ,"Cl. 92 #4969 #49a- a, Aranjuez, Medellín, Aranjuez, Medellín, Antioquia",6.2832324,-75.5571205
215,Nathus Club,"Reseñas
5
4
3
2
1
4,2
216 reseñas
  
Escribir una reseña
  

Ordenar
Todas
música
4
precios
2
ambiente
2
ruido
2
rumba
2
vallenato
2",4.2,216.0,,Club de baile,,"6 pm.,6 .",,Comuna Santa Cruz Discotecas,,"Av. Carabobo #79-1 79-97 a, Aranjuez, Medellín, Aranjuez, Medellín, Antioquia",6.2740135,-75.564519
216,Cinemas Procinal CC La Central,"Información  Accesibilidad

Entrada accesible para personas en silla de ruedas

Estacionamiento accesible para personas en silla de ruedas
    Aspectos destacados

Películas 3D
    Qué ofrece

Comida

Juegos de arcade
    Servicios

Restaurante
    Pagos

Tarjetas de crédito
    Menores

Ideal para ir con niños",4.6,4584.0,,Cine,Accesible con silla de ruedas,"12 pm.,6 .",http://www.procinal.com.co/,Comuna Santa Cruz Cines,,"El Vergel, Medellín, Buenos Aires, Medellín, Antioquia",6.2386817,-75.5476379
217,Cinemas Royal Films Bosque Plaza,"Información  Accesibilidad

Entrada accesible para personas en silla de ruedas

Estacionamiento accesible para personas en silla de ruedas
    Aspectos destacados

Películas 3D
    Qué ofrece

Comida

Juegos de arcade
    Servicios

Restaurante
    Público usual

Recomendable para ir en familia
    Pagos

Pagos con dispositivos móviles mediante NFC

Tarjetas de crédito

Tarjetas de débito

Tarjetas de crédito
    Menores

Ideal para ir con niños",4.3,1486.0,,Cine,Accesible con silla de ruedas,"12 pm.,6 .",http://www.royal-films.com/,Comuna Santa Cruz Cines,4605 1587 ,"Calle 73 #51D-71 Centro Comercial Bosque Plaza, Medellín, Antioquia",6.2688423,-75.5652786
218,Cinemas Procinal,"Información  Accesibilidad

Entrada accesible para personas en silla de ruedas

Estacionamiento accesible para personas en silla de ruedas
    Aspectos destacados

Películas 3D
    Qué ofrece

Comida
    Servicios

Restaurante
    Pagos

Tarjetas de crédito
    Menores

Ideal para ir con niños",4.5,11402.0,,Cine,Accesible con silla de ruedas,"12 pm.,9 pm.",http://www.procinal.com.co/,Comuna Santa Cruz Cines,312 8924981 ,"Cl. 71 #65 150, El Progreso, Medellín, Castilla, Medellín, Antioquia",6.2709874,-75.5768982
219,Cinemark Arkadia,"Información  Cadena de cines, algunos con varias salas, graderías y kiosco de autoservicio para venta de entradas.
    Accesibilidad

Entrada accesible para personas en silla de ruedas

Estacionamiento accesible para personas en silla de ruedas
    Qué ofrece

Comida
    Servicios

Restaurante
    Pagos

Tarjetas de crédito
    Menores

Ideal para ir con niños",4.6,1885.0,,Cine,Accesible con silla de ruedas,,,Comuna Santa Cruz Cines,,"Cra. 70 #1-19, Medellín, Belén, Medellín, Antioquia",6.2124261,-75.5949002
220,Cinemas Procinal Centro Comercial Aventura,"Información  Accesibilidad

Entrada accesible para personas en silla de ruedas

Estacionamiento accesible para personas en silla de ruedas
    Aspectos destacados

Películas 3D
    Qué ofrece

Comida
    Servicios

Restaurante
    Pagos

Tarjetas de crédito
    Menores

Ideal para ir con niños",4.5,5890.0,,Cine,Accesible con silla de ruedas,,http://www.procinal.com/,Comuna Santa Cruz Cines,44442244 ,"#65- a, Cra. 55 #65172, Bombona II, Medellín, Antioquia",6.2638889,-75.5672222
221,Cine Colombia,"Información  Accesibilidad

Entrada accesible para personas en silla de ruedas

Estacionamiento accesible para personas en silla de ruedas
    Opciones de servicio

Servicios en el lugar
    Aspectos destacados

Películas 3D
    Qué ofrece

Comida
    Servicios

Restaurante
    Pagos

Tarjetas de crédito
    Menores

Ideal para ir con niños",4.6,12170.0,,Cine,Accesible con silla de ruedas,"12 pm.,6 .",https://www.cinecolombia.com/,Comuna Santa Cruz Cines,,"Calle 30A # 82A-26 Centro Comercial Los Molinos, Medellín, Antioquia",6.2323639,-75.6035507
222,Cinemark El Tesoro,"Información  Cine con varias pantallas, asientos tipo estadio y venta de entradas autoservicio.
    Accesibilidad

Entrada accesible para personas en silla de ruedas

Estacionamiento accesible para personas en silla de ruedas
    Opciones de servicio

Servicios en el lugar
    Aspectos destacados

Películas 3D
    Qué ofrece

Comida
    Servicios

Restaurante
    Pagos

Tarjetas de crédito
    Menores

Ideal para ir con niños",4.5,4783.0,,Cine,Accesible con silla de ruedas,,https://www.cinemark.com.co/ciudad/medellin/el-tesoro,Comuna Santa Cruz Cines,43210974 ,"Cl. 3 #3-25, El Poblado, Medellín, El Poblado, Medellín, Antioquia",6.1985046,-75.5591889
223,Fareporelipo Fareporelipapopiripa Faroporolipapoooo De Shao Tato Botato,"Reseñas
5
4
3
2
1
5,0
1 reseña
  
Escribir una reseña
  

Ordenar",5.0,1.0,,Cine,,,,Comuna Santa Cruz Cines,,"Cra. 46 #107d-107 a, Cl. 107d #67, Medellín, Antioquia",6.2974465,-75.5504086
224,Cine Colombia - Multiplex,"Información  Accesibilidad

Entrada accesible para personas en silla de ruedas

Estacionamiento accesible para personas en silla de ruedas
    Qué ofrece

Comida
    Servicios

Restaurante
    Pagos

Tarjetas de crédito
    Menores

Ideal para ir con niños",4.5,374.0,,Cine,Accesible con silla de ruedas,,,Comuna Santa Cruz Cines,13218506 ,Centro Comercial Santa Fé Cl. 7 Sur #42-1 a 42-193 Medellín AN,6.1967967,-75.5732034
225,Procinal Las Américas,"Información  Accesibilidad

Entrada accesible para personas en silla de ruedas

Estacionamiento accesible para personas en silla de ruedas
    Qué ofrece

Comida
    Servicios

Restaurante
    Pagos

Tarjetas de crédito
    Menores

Ideal para ir con niños",4.5,1571.0,,Cine,Accesible con silla de ruedas,,http://www.procinal.com/,Comuna Santa Cruz Cines,44442244 ,"Dg. 75B #2A-120, Medellín, Belén, Medellín, Antioquia",6.2145832,-75.5963458
226,Corporación Cultural Nuestra Gente Santa Cruz,"Información  Accesibilidad

Entrada accesible para personas en silla de ruedas",4.6,515.0,,Asociación sociocultural,Accesible con silla de ruedas,,http://www.nuestragente.com.co/,Comuna Santa Cruz Teatros,(604) 2580348 ,"Cl. 99 #50c-38, Santa Cruz, Medellín, Santa Cruz, Medellín, Antioquia",6.2921784,-75.559743
227,Teatro Al Aire Libre Pedregal,"Información  Accesibilidad

Entrada accesible para personas en silla de ruedas

Estacionamiento accesible para personas en silla de ruedas
    Servicios

Restaurante
    Menores

Ideal para ir con niños",4.5,1064.0,,Teatro,Accesible con silla de ruedas,,,Comuna Santa Cruz Teatros,350 6878283 ,"Tejelo, Medellín, Doce de Octubre, Medellín, Antioquia",6.3024269,-75.5714703
228,Casa Teatral Teatro Sin Nombre,"Información  Aspectos destacados

Presentaciones en vivo
    Servicios

Restaurante
    Menores

Ideal para ir con niños",4.8,13.0,,Teatro,,"9 .,6 .",https://www.facebook.com/teatrosinnombremedellin/,Comuna Santa Cruz Teatros,313 5300027 ,"Cl. 107a ##32a, La Esperanza, Medellín, Popular, Medellín, Antioquia",6.2960277,-75.5429439
229,Teatro al aire libre,"Información  Servicios

Restaurante
    Menores

Ideal para ir con niños",4.3,12.0,,Teatro,,"6 .,3 .",,Comuna Santa Cruz Teatros,,"Cra. 49 #78-101, Aranjuez, Medellín, Aranjuez, Medellín, Antioquia",6.2712533,-75.5584761
230,Teatro La Hora 25,"Información  Accesibilidad

Entrada accesible para personas en silla de ruedas

Sanitarios accesibles para personas en silla de ruedas

Espacio accesible para personas en silla de ruedas

Estacionamiento accesible para personas en silla de ruedas
    Servicios

Sanitario
    Menores

Ideal para ir con niños",4.6,613.0,,Teatro,Accesible con silla de ruedas,"9 .,12 pm.",https://teatrolahora25.com/,Comuna Santa Cruz Teatros,310 7237457 ,"Cra 88 #39-31, Santa Monica, Medellín, La América, Medellín, Antioquia",6.2488436,-75.6087524
231,Teatro Matacandelas,"Información  Accesibilidad

Entrada accesible para personas en silla de ruedas

Espacio accesible para personas en silla de ruedas

Sanitarios accesibles para personas en silla de ruedas
    Aspectos destacados

Presentaciones en vivo
    Servicios

Sanitario

Wi-Fi

Tiene Wi-Fi gratis

Restaurante
    Público usual

Amigable con LGBTQ+

Espacio seguro para personas transgénero

Recomendable para ir en familia
    Menores

Actividades para niños

Ideal para ir con niños",4.8,1747.0,,Teatro,Accesible con silla de ruedas,,http://www.matacandelas.com/,Comuna Santa Cruz Teatros,350 2151100 ,"Cl. 47 #4347, La Candelaria, Medellín, La Candelaria, Medellín, Antioquia",6.2444759,-75.5646837
232,TEATRO Oficina Central de los Sueños,"Información  Accesibilidad

Estacionamiento accesible para personas en silla de ruedas
    Servicios

Restaurante
    Menores

Ideal para ir con niños",4.8,256.0,,Teatro,,,http://www.teatrooficinacentral.com/,Comuna Santa Cruz Teatros,42394179 ,"Entre Calle, Cra. 43 #52-50 53 y 52, La Candelaria, Medellín, La Candelaria, Medellín, Antioquia",6.2489387,-75.5621816
233,Pequeño Teatro de Medellín,"Información  Accesibilidad

Entrada accesible para personas en silla de ruedas

Estacionamiento accesible para personas en silla de ruedas

Sanitarios accesibles para personas en silla de ruedas

Espacio accesible para personas en silla de ruedas
    Aspectos destacados

Presentaciones en vivo
    Servicios

Sanitario
    Pagos

Solo dinero en efectivo
    Menores

Ideal para ir con niños",4.8,4443.0,,Teatro,Accesible con silla de ruedas,"9 .,9 pm.",http://www.pequenoteatro.com/,Comuna Santa Cruz Teatros,(604) 4807740 ,"Cra. 42 #50A-12, La Candelaria, Medellín, La Candelaria, Medellín, Antioquia",6.2475208,-75.5616535
