,name,desc,score,c_score,price,category,accessibility,schedule,web,search_parameters,phone,address,lat,lon,bayesian_mean,Comuna
429,Parque Acuatico Tulio Ospina,"Información  Accesibilidad

Entrada accesible para personas en silla de ruedas

Estacionamiento accesible para personas en silla de ruedas

Sanitarios accesibles para personas en silla de ruedas
    Servicios

Sanitario

Restaurante
    Menores

Ideal para ir con niños",3.7,94.0,,Parque acuático,Accesible con silla de ruedas,"12 .,12 .",,Comuna Aranjuez Parques acuaticos,,"Regional #s/n, Panamericano, Bello, Antioquia",6.3330996,-75.5491554,3.728846153846154,Aranjuez
430,Parque Norte Medellín,"Información  Parque temático apto para familias con montaña rusa y otras atracciones, área de juegos, lago y restaurantes.
    Accesibilidad

Entrada accesible para personas en silla de ruedas

Espacio accesible para personas en silla de ruedas

Estacionamiento accesible para personas en silla de ruedas

Sanitarios accesibles para personas en silla de ruedas
    Servicios

Sanitario
    Público usual

Amigable con LGBTQ+

Espacio seguro para personas transgénero
    Planificación

Se recomienda comprar las entradas con anticipación
    Pagos

Pagos con dispositivos móviles mediante NFC

Tarjetas de débito

Tarjetas de crédito
    Menores

Es recomendable para cumpleaños infantiles",4.5,26052.0,,Recinto ferial,Accesible con silla de ruedas,,https://parquenorte.gov.co/,Comuna Aranjuez Parques acuaticos,(604) 3401210 ,"Cra. 53 #76-115, Aranjuez, Medellín, Aranjuez, Medellín, Antioquia",6.272007,-75.5660801,4.499808149796639,Aranjuez
431,Parque Tierra de Gigantes,"Información  Servicios

Sanitario
    Menores

Ideal para ir con niños",4.0,42.0,,Parque de atracciones,,"3 pm.,9 pm.",,Comuna Aranjuez Parques acuaticos,,"Cl. 93 #47-73 a 47-1, Aranjuez, Medellín, Aranjuez, Medellín, Antioquia",6.2843955,-75.5552886,4.0,Aranjuez
432,PARQUE DE LAS AGUAS,"Información  Alegre parque acuático al aire libre que presenta una variedad de toboganes, además de un río lento.
    Accesibilidad

Entrada accesible para personas en silla de ruedas

Estacionamiento accesible para personas en silla de ruedas

Sanitarios accesibles para personas en silla de ruedas
    Servicios

Restaurante

Sanitario
    Menores

Ideal para ir con niños",4.2,7373.0,,Parque acuático,Accesible con silla de ruedas,,https://www.metropol.gov.co/parque-aguas/Paginas/index.aspx,Comuna Aranjuez Parques acuaticos,(607) 3856000 ,"Autopista Nte. #Kilometro 23, Medellín, Barbosa, Antioquia",6.4081486,-75.4227486,4.1997291074089125,Aranjuez
433,Centro Comercial Bosque Plaza,"Información  Centro comercial compacto con tiendas y servicios, patio de comidas y cine.
    Accesibilidad

Entrada accesible para personas en silla de ruedas

Estacionamiento accesible para personas en silla de ruedas
    Opciones de servicio

Servicios en el lugar
    Qué ofrece

Juegos de arcade
    Pagos

Pagos con dispositivos móviles mediante NFC

Tarjetas de débito

Tarjetas de crédito
    Menores

Área de juegos",4.2,11347.0,,Centro comercial,Accesible con silla de ruedas,"9 .,9 pm.",http://www.bosqueplaza.com/,Comuna Aranjuez Centros comerciales,(604) 2638895 ,"Cl. 73 #51D- 71, Aranjuez, Medellín, Aranjuez, Medellín, Antioquia",6.2688213,-75.5652941,4.199823897155939,Aranjuez
434,Florida Parque Comercial,"Información  Sitio cubierto con tiendas de accesorios, ropa y artículos deportivos, supermercados, cines y área recreativa.
    Accesibilidad

Entrada accesible para personas en silla de ruedas

Estacionamiento accesible para personas en silla de ruedas
    Opciones de servicio

Compras en tienda

Servicios en el lugar
    Qué ofrece

Juegos de arcade
    Pagos

Pagos con dispositivos móviles mediante NFC

Tarjetas de débito

Tarjetas de crédito
    Estacionamiento

Estacionamiento gratuito",4.6,37038.0,,Centro comercial,Accesible con silla de ruedas,"12 pm.,9 pm.",http://www.floridapc.co/,Comuna Aranjuez Centros comerciales,(604) 5202880 ,"Cl. 71 #65 - 150, El Progreso, Medellín, Castilla, Medellín, Antioquia",6.2706578,-75.5767491,4.59983804793781,Aranjuez
435,Centro Comercial Aventura,"Información  Centro comercial urbano con una sencilla variedad de tiendas y restaurantes informales, además de un cine.
    Accesibilidad

Entrada accesible para personas en silla de ruedas

Estacionamiento accesible para personas en silla de ruedas
    Opciones de servicio

Servicios en el lugar
    Qué ofrece

Juegos de arcade
    Menores

Área de juegos",4.4,16895.0,,Centro comercial,Accesible con silla de ruedas,"12 pm.,9 pm.",http://ccaventura.com/,Comuna Aranjuez Centros comerciales,43667288 ,"aventura, Cra. 52 #65-91, La Candelaria, Medellín, La Candelaria, Medellín, Antioquia",6.2640485,-75.5672693,4.3997633836143155,Aranjuez
436,Centro Comercial Unicentro,"Información  Gran centro comercial cubierto con cine, gimnasio y casino y muchas tiendas y restaurantes.
    Accesibilidad

Entrada accesible para personas en silla de ruedas

Espacio accesible para personas en silla de ruedas

Estacionamiento accesible para personas en silla de ruedas

Sanitarios accesibles para personas en silla de ruedas

Alquiler de sillas de ruedas
    Opciones de servicio

Compras en tienda

Servicios en el lugar
    Qué ofrece

Juegos de arcade
    Servicios

Sanitario

Tiene Wi-Fi gratis
    Público usual

Amigable con LGBTQ+

Espacio seguro para personas transgénero
    Pagos

Pagos con dispositivos móviles mediante NFC

Tarjetas de débito

Tarjetas de crédito
    Estacionamiento

Estacionamiento pagado

Servicio de estacionamiento",4.5,36626.0,,Centro comercial,Accesible con silla de ruedas,"12 pm.,9 pm.",http://www.unicentromedellin.com.co/,Comuna Aranjuez Centros comerciales,(604) 3507050 ,"Cra 66B #34 A 76, Laureles - Estadio, Medellín, Laureles, Medellín, Antioquia",6.2412494,-75.5875351,4.4998635222185825,Aranjuez
437,El Tesoro Parque Comercial,"Información  Ubicado alrededor de un patio frondoso, este centro comercial moderno ofrece marcas internacionales y un cine.
    Accesibilidad

Entrada accesible para personas en silla de ruedas

Estacionamiento accesible para personas en silla de ruedas
    Opciones de servicio

Servicios en el lugar
    Qué ofrece

Juegos de arcade
    Servicios

Tiene Wi-Fi gratis
    Pagos

Pagos con dispositivos móviles mediante NFC

Tarjetas de débito

Tarjetas de crédito
    Menores

Área de juegos",4.8,34969.0,,Centro comercial,Accesible con silla de ruedas,"12 pm.,9 pm.",https://eltesoro.com.co/,Comuna Aranjuez Centros comerciales,(604) 3211010 ,"Cra. 25a #1a Sur 45, El Poblado, Medellín, El Poblado, Medellín, Antioquia",6.1972984,-75.5582293,4.799771291346236,Aranjuez
438,Centro Comercial Los Molinos,"Información  Centro comercial contemporáneo con restaurantes informales, un cine y áreas de juegos para niños.
    Accesibilidad

Entrada accesible para personas en silla de ruedas

Espacio accesible para personas en silla de ruedas

Estacionamiento accesible para personas en silla de ruedas
    Opciones de servicio

Compras en tienda

Servicios en el lugar
    Qué ofrece

Juegos de arcade
    Servicios

Sanitarios unisex

Tiene Wi-Fi gratis
    Pagos

Tarjetas de débito

Tarjetas de crédito
    Menores

Área de juegos",4.6,21740.0,,Centro comercial,Accesible con silla de ruedas,"12 pm.,9 pm.",https://losmolinos.com.co/,Comuna Aranjuez Centros comerciales,(604) 2383505 ,"Cl. 30A #82A-26, Medellín, Belén, Medellín, Antioquia",6.23317,-75.60418,4.599724137931034,Aranjuez
439,Gardel Plaza Centro Comercial,"Información  Accesibilidad

Entrada accesible para personas en silla de ruedas
    Menores

Área de juegos",4.3,1561.0,,Centro comercial,Accesible con silla de ruedas,"9 .,9 pm.",http://gardelplaza.com/,Comuna Aranjuez Centros comerciales,43222240 ,"Cl. 72 #44-105, Manrique Central II, Medellín, Manrique, Medellín, Antioquia",6.2672599,-75.5547746,4.298090388287714,Aranjuez
440,Centro Comercial Premium Plaza,"Información  Centro comercial moderno con tiendas de ropa, un cine, un gimnasio, un casino y restaurantes.
    Accesibilidad

Entrada accesible para personas en silla de ruedas

Estacionamiento accesible para personas en silla de ruedas
    Opciones de servicio

Servicios en el lugar
    Qué ofrece

Juegos de arcade
    Menores

Área de juegos",4.5,40274.0,,Centro comercial,Accesible con silla de ruedas,"12 pm.,9 pm.",http://www.ccpremiumplaza.com/,Comuna Aranjuez Centros comerciales,(604) 4487071 ,"Calle 30, Cra. 43A, Medellín, Antioquia",6.228946,-75.5708693,4.499875881243174,Aranjuez
442,Centro Comercial Veracruz,"Información  Accesibilidad

Entrada accesible para personas en silla de ruedas
    Pagos

Pagos con dispositivos móviles mediante NFC

Tarjetas de débito

Tarjetas de crédito",4.2,1184.0,,Centro comercial,Accesible con silla de ruedas,"9 .,9 pm.",,Comuna Aranjuez Centros comerciales,301 6709429 ,"Av. Carabobo #51-52, La Candelaria, Medellín, La Candelaria, Medellín, Antioquia",6.251395,-75.5690121,4.198324958123953,Aranjuez
443,Bar Black And White,"Información  Accesibilidad

Estacionamiento accesible para personas en silla de ruedas
    Opciones de servicio

Consumo en el lugar
    Qué ofrece

Alcohol

Bebidas fuertes

Cerveza

Cócteles

Comida

Vino
    Servicios

Sanitario
    Ambiente

Agradable

Informal
    Público usual

Grupos",4.5,253.0,$,Bar,,"6 pm.,6 .",,Comuna Aranjuez Bares,300 8237984 ,"Cl. 92 #50-44, Aranjuez, Medellín, Aranjuez, Medellín, Antioquia",6.2834863,-75.5584407,4.480988593155893,Aranjuez
444,Cool Music,"Información  Accesibilidad

Sanitarios accesibles para personas en silla de ruedas
    Opciones de servicio

Asientos al aire libre

Consumo en el lugar

Entrega a domicilio

Para llevar
    Aspectos destacados

Buenos cócteles

Karaoke

Música en vivo

Presentaciones en vivo
    Qué ofrece

Alcohol

Bebidas fuertes

Cerveza

Cócteles

Comida

Comida en el bar

Vino
    Opciones del local

Espacio con asientos
    Servicios

Sanitario
    Ambiente

Agradable

Informal
    Público usual

Grupos
    Planificación

Se aceptan reservas
    Pagos

Pagos con dispositivos móviles mediante NFC

Tarjetas de crédito

Tarjetas de débito

Tarjetas de crédito",4.7,628.0,$,Bar,,"9 pm.,12 .",,Comuna Aranjuez Bares,,"Cra. 49A #92-55, Aranjuez, Medellín, Aranjuez, Medellín, Antioquia",6.2837736,-75.5568743,4.689028213166144,Aranjuez
445,Orgasmo,"Información  Opciones de servicio

Asientos al aire libre

Consumo en el lugar

Entrega a domicilio
    Aspectos destacados

Buenos cócteles
    Qué ofrece

Alcohol

Bebidas fuertes

Cerveza

Cócteles

Comida

Vino
    Opciones del local

Espacio con asientos
    Servicios

Sanitario
    Ambiente

Agradable

Informal
    Público usual

Grupos
    Planificación

Se aceptan reservas",4.3,169.0,$$,Bar,,"6 pm.,6 .",,Comuna Aranjuez Bares,,"Cl. 92 #70, Aranjuez, Medellín, Aranjuez, Medellín, Antioquia",6.2834011,-75.5571798,4.283240223463687,Aranjuez
446,Licorera Bar La Oficina 1992,"Información  Opciones de servicio

Consumo en el lugar
    Qué ofrece

Alcohol

Bebidas fuertes

Cerveza

Comida
    Servicios

Sanitario
    Ambiente

Agradable

Informal
    Público usual

Grupos",4.2,81.0,,Bar,,"3 pm.,6 .",,Comuna Aranjuez Bares,312 6063820 ,"Cra 49B, Aranjuez, Medellín, Aranjuez, Medellín, Antioquia",6.2834276,-75.5572467,4.178021978021978,Aranjuez
447,El Desmadre bar Aranjuez,"Información  Opciones de servicio

Consumo en el lugar
    Qué ofrece

Alcohol

Bebidas fuertes

Cerveza

Comida
    Servicios

Sanitario
    Ambiente

Agradable

Informal
    Público usual

Grupos",4.3,37.0,,Bar,,"6 pm.,6 .",,Comuna Aranjuez Bares,302 2471934 ,"Cl. 92 #49a-28, Aranjuez, Medellín, Aranjuez, Medellín, Antioquia",6.2834013,-75.557185,4.236170212765957,Aranjuez
448,Emporium discoteca vip,"Información  Opciones de servicio

Entrega a domicilio

Para llevar
    Aspectos destacados

Buenos cócteles

Música en vivo

Presentaciones en vivo
    Qué ofrece

Alcohol

Bebidas fuertes

Cerveza

Cócteles

Lugar para bailar
    Servicios

Sanitario
    Ambiente

Agradable

Informal
    Público usual

Grupos
    Planificación

Se aceptan reservas",4.3,221.0,$$,Discoteca,,,https://www.facebook.com/1142930342454711/posts/3555108747903513/,Comuna Aranjuez Discotecas,323 4579838 ,"Cra 49B #90-112, Aranjuez, Medellín, Aranjuez, Medellín, Antioquia",6.2829347,-75.5574928,4.287012987012987,Aranjuez
449,Otra Noche Club Medellín,"Información  Accesibilidad

Entrada accesible para personas en silla de ruedas

Estacionamiento accesible para personas en silla de ruedas
    Opciones de servicio

Entrega a domicilio

Para llevar
    Aspectos destacados

Buenos cócteles

Música en vivo

Presentaciones en vivo
    Qué ofrece

Alcohol

Bebidas fuertes

Cerveza

Cócteles

Lugar para bailar
    Servicios

Sanitario
    Ambiente

Agradable

Informal
    Público usual

Grupos
    Planificación

Se aceptan reservas",4.8,38.0,,Discoteca,No accesible con silla de ruedas,"9 pm.,6 .",,Comuna Aranjuez Discotecas,302 8544277 ,"Cl. 92 #50-13, Aranjuez, Medellín, Aranjuez, Medellín, Antioquia",6.2832089,-75.55808,4.633333333333334,Aranjuez
450,Discoteca La Timotea,"Información  Opciones de servicio

Entrega a domicilio

Para llevar
    Aspectos destacados

Buenos cócteles

Música en vivo

Presentaciones en vivo
    Qué ofrece

Alcohol

Bebidas fuertes

Cerveza

Cócteles
    Servicios

Sanitario
    Ambiente

Agradable

Informal
    Público usual

Grupos
    Planificación

Se aceptan reservas",4.3,78.0,,Club nocturno,,"6 pm.,12 .",https://gastrobar.pro/pdv/?biz=-NHU8DG9ZSOFNAvpzktn,Comuna Aranjuez Discotecas,321 3285879 ,"Cl. 92 #50A-16, Aranjuez, Medellín, Aranjuez, Medellín, Antioquia",6.2835437,-75.5587025,4.265909090909091,Aranjuez
451,Discoteca Ave María,"Información  Opciones de servicio

Consumo en el lugar

Entrega a domicilio

Para llevar
    Qué ofrece

Alcohol

Bebidas fuertes

Cerveza

Comida

Lugar para bailar
    Servicios

Sanitario
    Ambiente

Agradable

Informal
    Público usual

Amigable con LGBTQ+

Espacio seguro para personas transgénero

Grupos
    Planificación

Se aceptan reservas",3.9,21.0,$ 50.000-60.000,Discoteca,,"6 .,None",,Comuna Aranjuez Discotecas,310 2353982 ,"Cl. 92 #50b-2, Aranjuez, Medellín, Aranjuez, Medellín, Antioquia",6.2836485,-75.5593792,3.932258064516129,Aranjuez
452,Nathus Club,"Reseñas
5
4
3
2
1
4,2
216 reseñas
  
Escribir una reseña
  

Ordenar
Todas
música
4
precios
2
ambiente
2
ruido
2
rumba
2
vallenato
2",4.2,216.0,,Club de baile,,"6 pm.,6 .",,Comuna Aranjuez Discotecas,,"Av. Carabobo #79-1 79-97 a, Aranjuez, Medellín, Aranjuez, Medellín, Antioquia",6.2740135,-75.564519,4.191150442477876,Aranjuez
453,La Santa Diabla,"Información  Opciones de servicio

Entrega a domicilio

Para llevar
    Aspectos destacados

Buenos cócteles
    Qué ofrece

Alcohol

Bebidas fuertes

Cerveza

Cócteles
    Servicios

Sanitario
    Ambiente

Agradable

Informal
    Público usual

Grupos
    Planificación

Se aceptan reservas",4.2,68.0,,Discoteca,,,,Comuna Aranjuez Discotecas,,"Cl. 92, Aranjuez, Medellín, Aranjuez, Medellín, Antioquia",6.2834443,-75.5577185,4.174358974358975,Aranjuez
454,212 Vip Discoteca,"Información  Accesibilidad

Entrada accesible para personas en silla de ruedas

Estacionamiento accesible para personas en silla de ruedas
    Opciones de servicio

Consumo en el lugar

Para llevar
    Aspectos destacados

Música en vivo

Presentaciones en vivo
    Qué ofrece

Alcohol

Bebidas fuertes

Cerveza

Cócteles

Comida
    Servicios

Sanitario
    Ambiente

Agradable

Informal
    Público usual

Grupos
    Planificación

Se aceptan reservas",4.0,169.0,$,Bar,No accesible con silla de ruedas,"6 pm.,6 .",,Comuna Aranjuez Discotecas,301 2612008 ,"Cl. 92 #4969 #49a- a, Aranjuez, Medellín, Aranjuez, Medellín, Antioquia",6.2832324,-75.5571205,4.0,Aranjuez
455,URBAN CLUB CAMPO VALDES,"Información  Opciones de servicio

Consumo en el lugar
    Aspectos destacados

Buenos cócteles
    Qué ofrece

Alcohol

Bebidas fuertes

Cerveza

Cócteles

Comida
    Servicios

Sanitario
    Ambiente

Agradable

Informal
    Público usual

Grupos
    Planificación

Se aceptan reservas
    Pagos

Tarjetas de crédito

Tarjetas de débito",4.5,14.0,,Discoteca,,,https://instagram.com/urban.club1?igshid=YmMyMTA2M2Y=,Comuna Aranjuez Discotecas,310 4133014 ,"Cra. 48a #CALLE 76-01 CALLE 76-01, Aranjuez, Medellín, Aranjuez, Medellín, Antioquia",6.2696978,-75.5577151,4.291666666666667,Aranjuez
456,El Desmadre bar Aranjuez,"Información  Opciones de servicio

Consumo en el lugar
    Qué ofrece

Alcohol

Bebidas fuertes

Cerveza

Comida
    Servicios

Sanitario
    Ambiente

Agradable

Informal
    Público usual

Grupos",4.3,37.0,,Bar,,"6 pm.,6 .",,Comuna Aranjuez Discotecas,302 2471934 ,"Cl. 92 #49a-28, Aranjuez, Medellín, Aranjuez, Medellín, Antioquia",6.2834013,-75.557185,4.236170212765957,Aranjuez
457,Tangamandapio fonda,"Información  Opciones de servicio

Consumo en el lugar

Entrega a domicilio
    Aspectos destacados

Buenos cócteles

Música en vivo

Presentaciones en vivo
    Qué ofrece

Alcohol

Bebidas fuertes

Cerveza

Cócteles

Comida

Lugar para bailar
    Servicios

Sanitario
    Ambiente

Agradable
    Público usual

Grupos
    Planificación

Se aceptan reservas",4.5,81.0,,Discoteca,,,,Comuna Aranjuez Discotecas,,"Cra 49B #92-60, Aranjuez, Medellín, Aranjuez, Medellín, Antioquia",6.2839956,-75.557256,4.445054945054945,Aranjuez
458,Cinemas Royal Films Bosque Plaza,"Información  Accesibilidad

Entrada accesible para personas en silla de ruedas

Estacionamiento accesible para personas en silla de ruedas
    Aspectos destacados

Películas 3D
    Qué ofrece

Comida

Juegos de arcade
    Servicios

Restaurante
    Público usual

Recomendable para ir en familia
    Pagos

Pagos con dispositivos móviles mediante NFC

Tarjetas de crédito

Tarjetas de débito

Tarjetas de crédito
    Menores

Ideal para ir con niños",4.3,1486.0,,Cine,Accesible con silla de ruedas,"12 pm.,6 .",http://www.royal-films.com/,Comuna Aranjuez Cines,4605 1587 ,"Calle 73 #51D-71 Centro Comercial Bosque Plaza, Medellín, Antioquia",6.2688423,-75.5652786,4.297994652406417,Aranjuez
459,Cinemas Procinal,"Información  Accesibilidad

Entrada accesible para personas en silla de ruedas

Estacionamiento accesible para personas en silla de ruedas
    Aspectos destacados

Películas 3D
    Qué ofrece

Comida
    Servicios

Restaurante
    Pagos

Tarjetas de crédito
    Menores

Ideal para ir con niños",4.5,11402.0,,Cine,Accesible con silla de ruedas,"12 pm.,9 pm.",http://www.procinal.com.co/,Comuna Aranjuez Cines,312 8924981 ,"Cl. 71 #65 150, El Progreso, Medellín, Castilla, Medellín, Antioquia",6.2709874,-75.5768982,4.4995618647038205,Aranjuez
460,Cinemas Procinal Centro Comercial Aventura,"Información  Accesibilidad

Entrada accesible para personas en silla de ruedas

Estacionamiento accesible para personas en silla de ruedas
    Aspectos destacados

Películas 3D
    Qué ofrece

Comida
    Servicios

Restaurante
    Pagos

Tarjetas de crédito
    Menores

Ideal para ir con niños",4.5,5890.0,,Cine,Accesible con silla de ruedas,,http://www.procinal.com/,Comuna Aranjuez Cines,44442244 ,"#65- a, Cra. 55 #65172, Bombona II, Medellín, Antioquia",6.2638889,-75.5672222,4.499152542372881,Aranjuez
461,Cinemas Procinal CC La Central,"Información  Accesibilidad

Entrada accesible para personas en silla de ruedas

Estacionamiento accesible para personas en silla de ruedas
    Aspectos destacados

Películas 3D
    Qué ofrece

Comida

Juegos de arcade
    Servicios

Restaurante
    Pagos

Tarjetas de crédito
    Menores

Ideal para ir con niños",4.6,4584.0,,Cine,Accesible con silla de ruedas,"12 pm.,6 .",http://www.procinal.com.co/,Comuna Aranjuez Cines,,"El Vergel, Medellín, Buenos Aires, Medellín, Antioquia",6.2386817,-75.5476379,4.598693948628646,Aranjuez
462,Cine Colombia,"Información  Accesibilidad

Entrada accesible para personas en silla de ruedas

Estacionamiento accesible para personas en silla de ruedas
    Opciones de servicio

Servicios en el lugar
    Aspectos destacados

Películas 3D
    Qué ofrece

Comida
    Servicios

Restaurante
    Pagos

Tarjetas de crédito
    Menores

Ideal para ir con niños",4.6,12170.0,,Cine,Accesible con silla de ruedas,"12 pm.,6 .",https://www.cinecolombia.com/,Comuna Aranjuez Cines,,"Calle 30A # 82A-26 Centro Comercial Los Molinos, Medellín, Antioquia",6.2323639,-75.6035507,4.599507389162561,Aranjuez
463,Cine Colombia Vizcaya,"Información  Accesibilidad

Entrada accesible para personas en silla de ruedas

Estacionamiento accesible para personas en silla de ruedas
    Qué ofrece

Comida
    Servicios

Restaurante
    Pagos

Tarjetas de crédito
    Menores

Ideal para ir con niños",4.7,2927.0,,Cine,Accesible con silla de ruedas,"12 pm.,6 .",https://www.cinecolombia.com/,Comuna Aranjuez Cines,43602463 ,"Vizcaya Centro de Negocios Calle 10 # 32-115, Medellín",6.2081774,-75.5630777,4.697616615594144,Aranjuez
464,Multiplex Unicentro,"Información  Accesibilidad

Entrada accesible para personas en silla de ruedas

Estacionamiento accesible para personas en silla de ruedas
    Qué ofrece

Comida
    Servicios

Restaurante
    Pagos

Pagos con dispositivos móviles mediante NFC

Tarjetas de crédito

Tarjetas de débito

Tarjetas de crédito
    Menores

Ideal para ir con niños",4.5,305.0,,Cine,Accesible con silla de ruedas,"9 pm.,6 .",,Comuna Aranjuez Cines,,"Interior 372, Bolivariana #34A76, Laureles - Estadio, Medellín, Antioquia",6.2411863,-75.5875998,4.484126984126984,Aranjuez
466,Cine Colombia Oviedo,"Información  Accesibilidad

Entrada accesible para personas en silla de ruedas

Espacio accesible para personas en silla de ruedas

Estacionamiento accesible para personas en silla de ruedas

Sanitarios accesibles para personas en silla de ruedas
    Qué ofrece

Comida
    Servicios

Restaurante

Sanitario
    Pagos

Tarjetas de crédito
    Menores

Ideal para ir con niños",4.6,11441.0,,Cine,Accesible con silla de ruedas,"12 pm.,6 .",https://www.cinecolombia.com/,Comuna Aranjuez Cines,43602463 ,"Centro Comercial Oviedo, Calle 6 Sur # 43A -227 Centro Comercial Oviedo, Cra. 43A, Medellín, El Poblado, Medellín, Antioquia",6.200023,-75.5759403,4.599476028294472,Aranjuez
467,Centro Comercial Bosque Plaza,"Información  Centro comercial compacto con tiendas y servicios, patio de comidas y cine.
    Accesibilidad

Entrada accesible para personas en silla de ruedas

Estacionamiento accesible para personas en silla de ruedas
    Opciones de servicio

Servicios en el lugar
    Qué ofrece

Juegos de arcade
    Pagos

Pagos con dispositivos móviles mediante NFC

Tarjetas de débito

Tarjetas de crédito
    Menores

Área de juegos",4.2,11347.0,,Centro comercial,Accesible con silla de ruedas,"9 .,9 pm.",http://www.bosqueplaza.com/,Comuna Aranjuez Cines,(604) 2638895 ,"Cl. 73 #51D- 71, Aranjuez, Medellín, Aranjuez, Medellín, Antioquia",6.2688213,-75.5652941,4.199823897155939,Aranjuez
468,Teatro al aire libre,"Información  Servicios

Restaurante
    Menores

Ideal para ir con niños",4.3,12.0,,Teatro,,"6 .,3 .",,Comuna Aranjuez Teatros,,"Cra. 49 #78-101, Aranjuez, Medellín, Aranjuez, Medellín, Antioquia",6.2712533,-75.5584761,4.163636363636363,Aranjuez
469,Teatro Arlequín y los Juglares,"Información  Accesibilidad

Entrada accesible para personas en silla de ruedas
    Aspectos destacados

Presentaciones en vivo
    Servicios

Sanitario

Wi-Fi

Tiene Wi-Fi gratis

Restaurante
    Público usual

Recomendable para ir en familia
    Planificación

Se requiere suscripción
    Pagos

Pagos con dispositivos móviles mediante NFC
    Menores

Ideal para ir con niños",4.8,64.0,,Teatro,Accesible con silla de ruedas,"9 .,9 pm.",http://www.arlequinylosjuglares.org/,Comuna Aranjuez Teatros,310 5038455 ,"Cra. 44 # 69-71, Manrique Central II, Medellín, Manrique, Medellín, Antioquia",6.2649002,-75.554187,4.691891891891892,Aranjuez
470,Teatro Al Aire Libre Pedregal,"Información  Accesibilidad

Entrada accesible para personas en silla de ruedas

Estacionamiento accesible para personas en silla de ruedas
    Servicios

Restaurante
    Menores

Ideal para ir con niños",4.5,1064.0,,Teatro,Accesible con silla de ruedas,,,Comuna Aranjuez Teatros,350 6878283 ,"Tejelo, Medellín, Doce de Octubre, Medellín, Antioquia",6.3024269,-75.5714703,4.495344506517691,Aranjuez
472,Pequeño Teatro de Medellín,"Información  Accesibilidad

Entrada accesible para personas en silla de ruedas

Estacionamiento accesible para personas en silla de ruedas

Sanitarios accesibles para personas en silla de ruedas

Espacio accesible para personas en silla de ruedas
    Aspectos destacados

Presentaciones en vivo
    Servicios

Sanitario
    Pagos

Solo dinero en efectivo
    Menores

Ideal para ir con niños",4.8,4443.0,,Teatro,Accesible con silla de ruedas,"9 .,9 pm.",http://www.pequenoteatro.com/,Comuna Aranjuez Teatros,(604) 4807740 ,"Cra. 42 #50A-12, La Candelaria, Medellín, La Candelaria, Medellín, Antioquia",6.2475208,-75.5616535,4.79820345834269,Aranjuez
473,Centro de Desarrollo Cultural de Moravia,"Información  Centro comunitario con clases de arte, danza y música para todas las edades, presentaciones y charlas.
    Accesibilidad

Entrada accesible para personas en silla de ruedas

Estacionamiento accesible para personas en silla de ruedas",4.6,3207.0,,Centro cultural,Accesible con silla de ruedas,"9 .,6 pm.",http://centroculturalmoravia.org/,Comuna Aranjuez Teatros,42136010 ,"Cl. 82a #52-25, Aranjuez, Medellín, Aranjuez, Medellín, Antioquia",6.2764212,-75.5645804,4.598134908299658,Aranjuez
474,Teatro Laureles Centro de Eventos,"Información  Accesibilidad

Entrada accesible para personas en silla de ruedas
    Menores

Ideal para ir con niños",4.8,768.0,,Teatro,Accesible con silla de ruedas,"9 .,6 pm.",https://instagram.com/teatro.laureles?utm_source=ig_profile_share&igshid=1l19uu0x6cev3,Comuna Aranjuez Teatros,44798002 ,"Transversal 39B, Cq. 2 #46, Medellín, Antioquia",6.2429188,-75.5930113,4.789717223650385,Aranjuez
475,Elemental Teatro,"Información  Accesibilidad

Entrada accesible para personas en silla de ruedas
    Aspectos destacados

Presentaciones en vivo
    Servicios

Restaurante

Sanitario

Sanitarios unisex

Wi-Fi

Tiene Wi-Fi gratis
    Público usual

Amigable con LGBTQ+

Espacio seguro para personas transgénero

Recomendable para ir en familia
    Menores

Ideal para ir con niños",4.6,1060.0,,Teatro,Accesible con silla de ruedas,"12 pm.,9 pm.",http://www.elementalteatro.com/,Comuna Aranjuez Teatros,301 5617550 ,"Cra. 35 Este # 19-223, Medellín, Santa Elena, Medellín, Antioquia",6.2217993,-75.5021417,4.594392523364486,Aranjuez
476,Teatro Metropolitano José Gutiérrez Gómez,"Información  Accesibilidad

Entrada accesible para personas en silla de ruedas

Estacionamiento accesible para personas en silla de ruedas
    Aspectos destacados

Presentaciones en vivo
    Servicios

Restaurante
    Pagos

Pagos con dispositivos móviles mediante NFC

Tarjetas de crédito

Tarjetas de débito

Tarjetas de crédito
    Menores

Ideal para ir con niños",4.8,6615.0,,Teatro,Accesible con silla de ruedas,,http://www.teatrometropolitano.com/,Comuna Aranjuez Teatros,42324597 ,"Cl. 41 # 57 - 30, La Candelaria, Medellín, La Candelaria, Medellín, Antioquia",6.2430224,-75.5774573,4.798792452830189,Aranjuez
477,Teatro Pablo Tobón Uribe,"Información  Accesibilidad

Entrada accesible para personas en silla de ruedas

Estacionamiento accesible para personas en silla de ruedas
    Aspectos destacados

Presentaciones en vivo
    Servicios

Restaurante
    Pagos

Cheques

Tarjetas de crédito

Tarjetas de débito

Tarjetas de crédito
    Menores

Ideal para ir con niños",4.7,10286.0,,Teatro,Accesible con silla de ruedas,,https://www.teatropablotobon.com/,Comuna Aranjuez Teatros,(604) 2397500 ,"Cra. 40 #51-24, La Candelaria, Medellín, La Candelaria, Medellín, Antioquia",6.2475553,-75.5593819,4.699320124320125,Aranjuez
